Self_Regulation_Technique_Name,Time_Required (min),Self_Regulation_Category,Description,Instructions,
The 'Done for the Day' Signal,1,Boundaries/Energy Management,"Creating a specific, ritualistic action to signal the end of the workday or a demanding task, promoting mental disengagement.","At the end of work, close a specific application, put away a certain item, or say ""Done for the day!"" out loud to transition out of work mode.",
Visual Rule Boards/Charts,45935,Executive Function/Routine,"Creating clear, simple visual charts for rules or expectations in shared spaces to reduce ambiguity.","In a shared home, create a chart for ""kitchen rules"" or ""laundry steps"" with simple text or pictures to minimize misunderstandings and friction.",
The 'Hyper-fixation' Planner,45779,Productivity/Leveraging Strengths,A dedicated section in a planner or notebook specifically for tracking and managing current hyper-fixations.,"Jot down notes, links, or ideas related to your current hyper-fixation here. This acknowledges it without letting it derail other tasks.",
Auditory Cues for Transitions,Variable,Routine/Executive Function,Using specific sounds or songs as a non-verbal signal for upcoming transitions or routine steps.,"Play a particular song to signal the start of your morning routine, or a chime to indicate it's time to switch tasks.",
The 'Emotional Comfort' Playlist,Variable,Emotional Regulation/Decompression,"A playlist specifically curated with songs that reliably evoke feelings of calm, joy, or catharsis.","Create a playlist of songs that consistently help you regulate your emotions, whether for calming down, feeling motivated, or processing sadness.",
Pre-Packed 'Go Bags',Variable,Executive Function/Anxiety Mgmt,"Having pre-assembled bags for common outings (e.g., gym, library, park) to reduce decision fatigue and forgotten items.","Keep a gym bag packed, a ""library run"" bag with books and cards, or a ""park bag"" with water and sunscreen, ready to grab and go.",
The 'Sensory Friendly' Background,1,Environment/Focus,"Utilizing a simple, consistent, and visually calm background for video calls or digital workspaces.","Choose a plain wall, a simple curtain, or a consistent virtual background to minimize visual distractions for yourself and others during calls.",
Mini-Meditations (Sensory Focus),45689,Mindfulness/Grounding,Very short meditative practices that focus intensely on one specific sense to ground yourself quickly.,"For 30-60 seconds, focus only on the sensation of your breath, the feeling of your feet on the floor, or one specific sound in the room.",
The 'External Voice' for Tasks,Variable,Motivation/Executive Function,Using a voice recording of yourself or a text-to-speech app to externalize instructions for a task.,"If reading instructions is hard, record yourself saying the steps of a task, or use text-to-speech to read them aloud, making them easier to process.",
Comfort Objects (Pocket-Sized),1,Sensory Regulation/Portability,"Carrying small, discreet comfort objects that provide tactile or other sensory input without drawing attention.","Keep a smooth stone, a worry coin, a small piece of textured fabric, or a small, silent fidget in your pocket for discreet self-soothing.",
The 'No Pressure' Social Loop,Variable,Social Communication/Energy Mgmt,"Having specific individuals or groups with whom you have a mutual understanding of low-pressure, asynchronous communication.","Establish with certain friends that it's okay for messages to go unanswered for days, and that calls don't require immediate answers, reducing social pressure.",
Visual Reminders for Self-Care,1,Self-Care/Executive Function,"Placing highly visible reminders for essential self-care tasks (e.g., hydrate, stretch, eat) around your environment.","Put sticky notes on your monitor to drink water, a reminder on your bathroom mirror to stretch, or a fruit bowl in plain sight to prompt healthy eating.",
The 'Permission to Reset' Card,45778,Self-Compassion/Emotional Reg.,"A mental or physical ""card"" you give yourself permission to use when you need to completely reset your day or current state.","When a day goes completely off the rails, mentally (or literally) declare, ""I'm using my reset card."" Then, pivot to a self-soothing or low-demand activity.",
Auditory Cues for Safety,Variable,Sensory Regulation/Awareness,Using specific sounds or auditory information to feel safe or aware of your surroundings.,"Playing specific background music at home to feel less isolated, or using headphones with a ""transparency"" mode in public to stay aware of surroundings.",
The 'Breakdown Buddy' Protocol,45935,Emotional Regulation/Support,Establishing a pre-arranged plan with a trusted person for what to do during or after a meltdown/shutdown.,"Agree with a trusted friend/partner on specific actions (e.g., quiet space, bring water, no talking) if you're experiencing sensory overload or emotional distress.",
Task Visualization (Detailed),45779,Motivation/Executive Function,"Mentally walking through every step of a task in vivid detail before starting, to aid planning and reduce overwhelm.","Before doing laundry, visualize each step: carrying the basket, sorting, loading, starting machine, moving to dryer, folding, putting away.",
The 'Sensory Snack Box',Variable,Sensory Regulation/Self-Soothing,"A small container filled with various sensory ""snacks"" (small items that provide quick, diverse sensory input).","Fill a small box with items like a mini stress ball, a strong-smelling essential oil wipe, a piece of crunchy gum, or a smooth stone for quick sensory input.",
Pre-computation for Social Events,45935,Social Communication/Anxiety Mgmt,"Mentally or physically preparing answers to common social questions (e.g., ""How are you?"") to reduce social anxiety.","Before a social event, think about predictable questions and have a few generic, comfortable answers ready, so you don't have to formulate them on the spot.",
"The ""Weighted Vest/Scarf""",Variable,Sensory Regulation/Calming,"Using a weighted vest or a heavy scarf/shawl to provide constant, comforting deep pressure.","Wear a weighted vest designed for sensory input, or simply drape a heavy scarf or shawl around your shoulders/lap when needing grounding pressure.",
Task 'Splitting' (by energy),Variable,Productivity/Executive Function,Breaking large tasks into segments that match your fluctuating energy levels throughout the day or week.,"Instead of ""write report,"" split it into ""outline (high focus),"" ""research (medium focus),"" ""draft paragraphs (low focus),"" and tackle them when your energy aligns.",
The 'Sensory Shower/Bath' Reset,10-30,Decompression/Sensory Regulation,Using the deliberate sensory experience of a shower or bath as a complete reset for overwhelm or dysregulation.,"Focus intensely on the sensory input: the water temperature, the sound, the steam, the scent of soap. Treat it as a mindful reset button.",
Visual Time Management (Analog),Variable,Time Management/Executive Function,"Using analog clocks, sand timers, or visual countdown timers to make time more concrete and manageable.","Use a large, visible analog clock, a sand timer for short tasks, or a Time Timer (shows time visually disappearing) to help with time blindness.",
Comfort Texture Clothing Prep,45935,Sensory Comfort/Routine,Pre-selecting or preparing outfits based purely on their comfortable and preferred sensory textures.,"Before laundry day, identify your absolute favorite-feeling clothes. Wash them together and prioritize wearing them when you need sensory comfort.",
The 'Emergency Snack' Kit,1,Energy Management/Executive Function,"A small, portable kit of easy-to-eat, non-perishable ""safe foods"" for unexpected low-energy or overwhelm moments.","Keep a small bag with granola bars, nuts, or individually wrapped sensory-preferred candies in your backpack, car, or desk drawer.",
Scheduled 'Do Nothing' Time,15-60,Energy Management/Burnout Prevention,Deliberately blocking out time in your schedule where there is no expectation to be productive or social.,"Treat ""do nothing"" time as a vital appointment. Lie down, stare at the ceiling, or sit quietly without phone, book, or task.",
The 'One Thing Out' Rule (Declutter),1,Organization/Executive Function,"A gentle decluttering method: whenever you leave a room, take one item that doesn't belong and put it away.","As you exit a room, scan for one item out of place (e.g., a mug, a book) and take it with you to put away.",
Sensory-Focused Self-Care Routine,Variable,Self-Care/Sensory Regulation,"Designing self-care routines around activities that provide specific, regulating sensory input.","Instead of just ""relax,"" choose specific sensory self-care: a hot bath with epsom salts, listening to calming music with headphones, or using a vibrating massage tool.",
The 'Social Prep' Checklist,45778,Social Communication/Anxiety Mgmt,"A brief mental or physical checklist to prepare for social interactions, reducing anxiety and improving performance.","Before a social event, quickly review: ""Do I know the topic? Do I have an exit plan? Am I wearing comfortable clothes? Do I have my fidget?""",
Hyperfocus 'Timer Traps',1,Productivity/Focus,Setting alarms or reminders to break out of a hyperfocus period to avoid losing track of time or other commitments.,"If you know you're prone to hyperfocus, set an alarm that says ""Time to switch tasks!"" or ""Check in on X!"" every 30-60 minutes.",
The 'Affirmation Anchor',45689,Emotional Regulation/Self-Compassion,Pairing a positive affirmation with a physical touch or action to create a rapid self-soothing response.,"Choose an affirmation (""I am safe,"" ""I am capable""). Repeat it while pressing your thumb and forefinger together. Use the touch later to recall the feeling.",
Visual 'Energy Bar',1,Energy Management/Self-Awareness,A simple visual representation (mental or drawn) of your energy level throughout the day to guide activity choices.,"Mentally picture your ""energy bar"" (like in a video game). If it's low, prioritize rest. If high, tackle more demanding tasks.",
The 'Sensory Bin' (Adult Version),5-15,Sensory Regulation/Stress Relief,"A container filled with various items that offer diverse, satisfying sensory experiences for hands-on calming.","Create a bin with kinetic sand, water beads, smooth stones, dried beans, or small fidget toys to run your hands through for tactile input.",
The 'Rule of Three' (Daily),45689,Productivity/Prioritization,"Limiting your daily ""must-do"" tasks to the three most crucial items to prevent overwhelm and ensure essential progress.","At the start of each day, identify only the three absolute most important things you need to achieve, and focus on those first.",
Verbal Instructions (for self),Variable,Executive Function/Task Initiation,"Giving yourself instructions out loud for tasks, as if teaching someone else, to aid processing and initiation.","Okay, first I need to open the document. Then I'll find the section for X. Then I'll start typing.",
The 'Interest-Based' Environment,Variable,Focus/Motivation/Environment,Surrounding yourself with elements related to your special interests to create a more engaging and motivating space.,"Decorate your workspace with items related to your special interest, or have books/models related to it visible to subtly boost mood and focus.",
Scheduled 'Wiggle Time',45935,Physical Regulation/Focus,"Deliberately blocking out short periods for unrestricted, sensory-seeking movement.","If you have trouble sitting still, schedule 5-10 minutes every hour or two to walk, stretch, dance, or engage in other preferred movements.",
The 'Compassionate Self-Talk' Script,45717,Self-Compassion/Emotional Reg.,"Developing specific, kind phrases to use when you're being self-critical or experiencing intense emotional distress.","When feeling down, tell yourself, ""It's okay to feel this way,"" or ""I'm doing my best, and that's enough,"" as if speaking to a loved one.",
"The 'Out of Sight, Out of Mind' Solution",Variable,Organization/Executive Function,Strategically putting away distracting items or visual clutter that can lead to overwhelm.,"Use opaque bins, close cupboard doors, or put distracting items in a separate room when you need to focus or feel overwhelmed by visual chaos.",
